iter	RMSE
218	0.5460446887
219	0.5459324695
220	0.545757173
221	0.5456383411
222	0.545448357
223	0.5452750728
224	0.5451328185
225	0.5450757599
226	0.5448655624
227	0.5447496035
228	0.5446585227
229	0.5445890054
230	0.5445071562
231	0.5444129365
232	0.5442633467
233	0.5441426999
234	0.5440652846
235	0.543925744
236	0.5437910674
237	0.543698901
238	0.5435711444
239	0.5434665346
240	0.5433701301
241	0.5433224605
242	0.543003429
243	0.5428286831
244	0.5427386991
245	0.5425509132
246	0.5423512559
247	0.5423470045
248	0.5422826499
249	0.5422523915
250	0.5422337032
251	0.5422291694
252	0.5421500934
253	0.5421272459
254	0.5420381284
255	0.5419480812
256	0.5418109627
257	0.5417911663
258	0.5417069818
259	0.541641898
260	0.5414519335
261	0.5412505217
262	0.5412221851
263	0.5410954027
264	0.5410302323
265	0.5409166432
266	0.540642049
267	0.5405057182
268	0.5404735167
269	0.5404008033
270	0.5401822405
271	0.5401565166
272	0.5400726872
273	0.5400097669
274	0.5399044973
275	0.5397166117
276	0.5396194613
277	0.5394744739
278	0.5393089511
279	0.5392579929
280	0.5391647296
281	0.5390503871
282	0.5389845185
283	0.5389699279
284	0.5388784918
285	0.5386830899
286	0.5386116147
287	0.5385130344
288	0.5384665852
289	0.5384571963
290	0.5383684517
291	0.5382521358
292	0.5381044125
293	0.5380990912
294	0.5380277742
295	0.5379676454
296	0.5379178983
297	0.5379002823
298	0.5377512466
299	0.5377462919
300	0.537673847
301	0.5375973356
302	0.5375635368
303	0.5375599121
304	0.537541451
305	0.5374486328
306	0.537328167
307	0.5372853803
308	0.5372806005
309	0.53716771
310	0.5370940032
311	0.5370198331
312	0.536927125
313	0.5368264306
314	0.5366339427
315	0.5365540135
316	0.5364951069
317	0.5363894539
318	0.5362778411
319	0.5362173807
320	0.5360834345
321	0.53605393
322	0.535977878
323	0.5358147833
324	0.5358007414
325	0.535723781
326	0.5356633194
327	0.5356209264
328	0.5355777847
329	0.5355093968
330	0.5354718859
331	0.5354051565
332	0.5353692503
333	0.5353337707
334	0.5352371658
335	0.535181971
336	0.5351019576
337	0.534997361
338	0.5349920578
339	0.5348828809
340	0.5348816111
341	0.5348716409
342	0.5347528933
343	0.5345862493
344	0.5345244084
345	0.5344606925
346	0.5343802684
347	0.534264884
348	0.5340794027
349	0.5340204563
350	0.5339457312
351	0.5337559177
352	0.5336611026
353	0.5335814581
354	0.5335318201
355	0.5334929218
356	0.5334564209
357	0.5333110668
358	0.5332088652
359	0.5330151859
360	0.5329294695
361	0.5328688763
362	0.5328129641
363	0.5327856731
364	0.5327214727
365	0.5325987269
366	0.5324832862
367	0.5323878506
368	0.5323852334
369	0.5323069542
370	0.5323059268
371	0.5322334216
372	0.5322312978
373	0.5321925626
374	0.5320911657
375	0.5320715754
376	0.5319860439
377	0.531921377
378	0.5318534696
379	0.5318474199
380	0.5317370185
381	0.5316907063
382	0.5315727041
383	0.5315353582
384	0.5315069691
385	0.5314815882
386	0.5314159006
387	0.5312516365
388	0.531108501
389	0.5310077919
390	0.5309182103
391	0.530851596
392	0.5307881348
393	0.5307273338
394	0.5306619461
395	0.5305189277
396	0.530442218
397	0.530337311
398	0.5303343803
399	0.5302914036
400	0.5302509073
401	0.5301214672
402	0.5300360583
403	0.5299214238
404	0.5298858879
405	0.5297933086
406	0.5297078399
407	0.5296327858
408	0.5295839209
409	0.5295693297
410	0.5294140938
411	0.5292617854
412	0.5290767108
413	0.5290077642
414	0.528998088
415	0.5288061025
416	0.5287395659
417	0.528666153
418	0.52859423
419	0.5284142766
420	0.5282246847
421	0.5281028552
422	0.5279989411
423	0.5279820873
424	0.5278902568
425	0.5277853099
426	0.5277033271
427	0.5275806703
428	0.5275623019
429	0.5274585684
430	0.5272812616
431	0.5272693765
432	0.5272181131
433	0.5271335172
434	0.5270862735
435	0.5270367319
436	0.5269527768
437	0.5268746489
438	0.5268219579
439	0.5267633883
440	0.5267295434
441	0.5266823635
442	0.5266109312
443	0.5264867638
444	0.5264219662
445	0.5262966637
446	0.5262943994
447	0.5261885351
448	0.5261279545
449	0.5260867526
450	0.5259576503
451	0.5258629699
452	0.525772031
453	0.5257293954
454	0.5256271933
455	0.5255352147
456	0.5254590765
457	0.5253452079
458	0.5253098232
459	0.525168495
460	0.5250952061
461	0.524948652
462	0.524906116
463	0.5248146515
464	0.5246653003
465	0.5245046336
466	0.5243888895
467	0.5242850614
468	0.5241408426
469	0.5241058161
470	0.5240586668
471	0.5239905145
472	0.5239346837
473	0.5239169769
474	0.5238735259
475	0.5238283508
476	0.5237786007
477	0.5237185002
478	0.5236881633
479	0.5236656201
480	0.5236531753
481	0.5235324413
482	0.5234996435
483	0.5234214703
484	0.5233345419
485	0.5232378702
486	0.5231532465
487	0.5231170889
488	0.5230071421
489	0.5229272347
490	0.5228491878
491	0.5227249141
492	0.522624179
493	0.5226224896
494	0.5225700872
495	0.5225113924
496	0.5224585589
497	0.5223671797
498	0.5223175232
499	0.5223145609
500	0.5223059027
501	0.5222287962
502	0.5221230295
503	0.5220613184
504	0.5219903102
505	0.5219150571
506	0.521855734
507	0.5217884955
508	0.5217096645
509	0.5216597866
510	0.5216044517
511	0.5214998536
512	0.5214977689
513	0.5213935709
514	0.5213297125
515	0.5212291533
516	0.5211801137
517	0.5211464522
518	0.5210955476
519	0.5210821062
520	0.5210200576
521	0.52095105
522	0.5209287161
523	0.5208888404
524	0.5208419779
525	0.5207267689
526	0.520648387
527	0.5206344858
528	0.5205750636
529	0.520554339
530	0.5204306109
531	0.5203809514
532	0.5202900686
533	0.5202012989
534	0.5200496878
535	0.5199741663
536	0.5198238541
537	0.5197876683
538	0.5197242418
539	0.5196470789
540	0.5195384886
541	0.5195076058
542	0.5194463529
543	0.519424752
544	0.5193286876
545	0.519282099
546	0.5191700887
547	0.5190691949
548	0.5190431842
549	0.5190213223
550	0.5189884389
551	0.5189649702
552	0.5189018838
553	0.5188517423
554	0.5188254037
555	0.5188183862
556	0.5187469015
557	0.518653377
558	0.518597036
559	0.5185947471
560	0.5185019272
561	0.5184650725
562	0.5183568737
563	0.5182856457
564	0.5182055851
565	0.5181683996
566	0.5180941356
567	0.5179217212
568	0.5178286155
569	0.5177716552
570	0.5177572121
571	0.5177309602
572	0.5177299599
573	0.5176489385
574	0.5175550703
575	0.5174827765
576	0.5173962892
577	0.5173814558
578	0.5173032043
579	0.5172423683
580	0.5171779471
581	0.5170939349
582	0.5169867828
583	0.516948847
584	0.5168574767
585	0.5167864538
586	0.5166775034
587	0.5166207922
588	0.5165843068
589	0.5165378098
590	0.5165358806
591	0.5164147196
592	0.5163714484
593	0.5162500817
594	0.5161655463
595	0.5161023429
596	0.5160691484
597	0.516004642
598	0.5159910642
599	0.5159228902
600	0.5158889926
601	0.5158153044
602	0.5157554461
603	0.5157223335
604	0.5157011658
605	0.5156633736
606	0.5156495326
607	0.5156176946
608	0.5154268168
609	0.5154239321
610	0.5153427013
611	0.5153325728
612	0.5152615639
613	0.5152033567
614	0.515147226
615	0.5151217233
616	0.5150054903
617	0.5148708573
618	0.5148027597
619	0.5146783326
620	0.5145731745
621	0.5144911156
622	0.5144191505
623	0.5143710018
624	0.5143401149
625	0.514287333
626	0.5142555447
627	0.5141995904
628	0.5140859837
629	0.5140728732
630	0.5140364264
631	0.5139716834
632	0.5139338614
633	0.5138737514
634	0.5137523071
635	0.5136465748
636	0.5135875942
637	0.5135555788
638	0.5134785383
639	0.513421782
640	0.5133266499
641	0.5132687158
642	0.5132277384
643	0.5131970597
644	0.5130833904
645	0.5130011358
646	0.5128346985
647	0.512799639
648	0.5127513118
649	0.5126846052
650	0.5126072573
651	0.5125444747
652	0.5124837497
653	0.5124022332
654	0.5123445921
655	0.5122787687
656	0.5122301523
657	0.5122052711
658	0.5121331503
659	0.5120869605
660	0.5120216801
661	0.5120208414
662	0.5119438332
663	0.5119105007
664	0.5118842352
665	0.5118561854
666	0.5117142075
667	0.5116593037
668	0.5116147628
669	0.5115239057
670	0.5114799315
671	0.5114390303
672	0.5113064135
673	0.5111867779
674	0.511143684
675	0.5110538498
676	0.511001002
677	0.5109097758
678	0.5108902953
679	0.5107982634
680	0.5107096676
681	0.5106811021
682	0.5106424295
683	0.5106255757
684	0.5104863808
685	0.510385313
686	0.5102896414
687	0.5102108306
688	0.5101489927
689	0.510081849
690	0.509998114
691	0.5099174071
692	0.5098853749
693	0.5098288373
694	0.5096837458
695	0.5096286201
696	0.5096069366
697	0.5095605773
698	0.5094539964
699	0.5094055671
700	0.5093774798
701	0.5093166175
702	0.5092413682
703	0.5091500404
704	0.5091310883
705	0.5091157627
706	0.5090658192
707	0.5090276803
708	0.5090121364
709	0.5089133291
710	0.5088326472
711	0.5087534254
712	0.5086936787
713	0.5086742118
714	0.5086450208
715	0.5085915619
716	0.5085240298
717	0.5085014338
718	0.5084164773
719	0.5083665935
720	0.5083304458
721	0.5082838808
722	0.5082261392
723	0.5081808149
724	0.5080337198
725	0.508018115
726	0.5080092053
727	0.5079440686
728	0.5078402219
729	0.5077907679
730	0.5077569768
731	0.5077213107
732	0.5076459456
733	0.5075571781
734	0.5075155847
735	0.5074798168
736	0.5073235251
737	0.5073054881
738	0.5072592626
739	0.507150342
740	0.5071308583
741	0.5070918371
742	0.5070399746
743	0.5069974552
744	0.5069440054
745	0.5068643904
746	0.5068153535
747	0.5067320358
748	0.5066829323
749	0.5066020215
750	0.5065361447
751	0.5064295531
752	0.5064191156
753	0.506365656
754	0.5063106019
755	0.5062130336
756	0.5061549382
757	0.5061169338
758	0.5060872253
759	0.5060456089
760	0.5059933271
761	0.5058798157
762	0.5057888976
763	0.5057334702
764	0.5056572469
765	0.5056192037
766	0.5055764317
767	0.5055175563
768	0.5054589053
769	0.5053821612
770	0.505318136
771	0.505277811
772	0.5052218658
773	0.5051595302
774	0.5050981171
775	0.5050861528
776	0.5049840541
777	0.504970925
778	0.5048850907
779	0.5048123632
780	0.5048103522
781	0.5047316035
782	0.5047035335
783	0.504664879
784	0.5046258274
785	0.5045841091
786	0.50455011
787	0.5044332743
788	0.504334557
789	0.5042958359
790	0.5042725981
791	0.5042036815
792	0.5041555971
793	0.5041129132
794	0.5041118782
795	0.5040225718
796	0.5038991662
797	0.5038626896
798	0.5038215304
799	0.503710903
800	0.5035985638
801	0.5035299012
802	0.5034610976
803	0.5033981004
804	0.5033968058
805	0.5033848764
806	0.5033291773
807	0.5032663106
808	0.5032366592
809	0.5030813034
810	0.5030208064
811	0.5029981996
812	0.502954392
813	0.5029137989
814	0.5028653714
815	0.5028396161
816	0.5027071048
817	0.502645928
818	0.5025669422
819	0.5025238357
820	0.5024775672
821	0.5023711179
822	0.5023071904
823	0.5022167994
824	0.5021419285
825	0.5020514844
826	0.502014116
827	0.5019692219
828	0.5019128818
829	0.5019004986
830	0.5018242521
831	0.5017382126
832	0.501648239
833	0.5016363845
834	0.5015854915
835	0.5015431731
836	0.5015080815
837	0.5014461138
838	0.5013912802
839	0.5013639197
840	0.5013553846
841	0.5013430667
842	0.5012997447
843	0.5012390892
844	0.5011737972
845	0.501096722
846	0.5010561202
847	0.5009043007
848	0.5008402034
849	0.5007436653
850	0.5006665182
851	0.5005796752
852	0.5004872722
853	0.5004608397
854	0.5003636299
855	0.5003190412
856	0.500247553
857	0.5001916209
858	0.5001513868
859	0.5000736472
860	0.4999992877
861	0.4999387514
862	0.4999123466
863	0.4998527433
864	0.4998146363
865	0.4998058097
866	0.4997204695
867	0.4996832423
868	0.4996709604
869	0.499588418
870	0.4995489502
871	0.4995006
872	0.4994420083
873	0.4994056655
874	0.499404355
875	0.4993159516
876	0.4992471601
877	0.4991577223
878	0.4990878927
879	0.4990170475
880	0.4989510421
881	0.4989325918
882	0.4988849015
883	0.4988674078
884	0.4987985724
885	0.4987421925
886	0.4986807758
887	0.4986468841
888	0.4986252414
889	0.4985942282
890	0.4984418298
891	0.4983617888
892	0.4983271502
893	0.4982357412
894	0.4981739519
895	0.4980685464
896	0.4979061681
897	0.4978396593
898	0.4977812405
899	0.4976665821
900	0.4976123241
901	0.4975875276
902	0.4975578136
903	0.4974854675
904	0.4974286502
905	0.4973918519
906	0.4972997033
907	0.4972301533
908	0.4971907864
909	0.4971033317
910	0.4970571586
911	0.497010482
912	0.4969098689
913	0.4968818291
914	0.4968572721
915	0.4968004806
916	0.4967672103
917	0.4967278386
918	0.4966787932
919	0.4966488953
920	0.4966158537
921	0.4965897845
922	0.4965220444
923	0.496464707
924	0.4963868279
925	0.4963361856
926	0.4963223157
927	0.4962487807
928	0.4962361699
929	0.4961248126
930	0.4960554616
931	0.4959612924
932	0.4959085606
933	0.4958198742
934	0.4957249709
935	0.4956613688
936	0.4956039883
937	0.4955344913
938	0.495525078
939	0.4954927466
940	0.4954405675
941	0.4954049574
942	0.4953725023
943	0.4953216967
944	0.4951527096
945	0.4950541972
946	0.4949888012
947	0.4949701951
948	0.4948797614
949	0.4948162067
950	0.4947271817
951	0.4946916287
952	0.4946509004
953	0.494588012
954	0.4945088683
955	0.4944567375
956	0.4944310648
957	0.4944130651
958	0.4943501106
959	0.4943222397
960	0.494321281
961	0.4942741337
962	0.4942228239
963	0.4941936097
964	0.49418311
965	0.4941479549
966	0.4940778074
967	0.4940352312
968	0.4939879292
969	0.4939167485
970	0.4938696994
971	0.4938454265
972	0.4937437578
973	0.493685751
974	0.4936560923
975	0.4935969691
976	0.4935823829
977	0.4934257854
978	0.4934008914
979	0.4933283728
980	0.4932972764
981	0.4932530718
982	0.4932091596
983	0.4931393156
984	0.4931008878
985	0.4930202792
986	0.4929684709
987	0.4929339438
988	0.4928333289
989	0.4928154204
990	0.4927797807
991	0.4927376876
992	0.4926667795
993	0.4925598915
994	0.4925339605
995	0.4924730966
996	0.4923695964
997	0.4923291774
998	0.4922822975
999	0.4922239603
